term	warmth (W)	competence (C)	sociability (S)	trust (T)
instigate	-0.704	0.284	-0.583	-0.704
instigation	-0.704	0.296	-0.619	-0.704
instigative	-0.667	0.667	-0.444	-0.667
instigator	-0.606	0.815	-0.542	-0.606
instinct	0.222	0.284	0.222	0.133
instinctive	0.500	0.388	0.500	0.182
instinctively	0.333	0.542	0.333	0.242
instinctual	0.278	0.667	0.278	0.042
institutionalism	0.500	0.556	-0.333	0.500
institutionalization	-0.708	0.407	-0.708	0.000
instruct	0.667	0.666	0.467	0.667
instructed	0.500	0.444	0.429	0.500
instruction	0.639	0.472	0.625	0.639
instructional	0.667	0.546	0.222	0.667
instructively	0.600	0.556	0.500	0.600
instructiveness	0.583	0.667	0.524	0.583
instructor	0.636	0.564	0.583	0.636
instructorship	0.750	0.704	0.370	0.750
instrumental	-0.467	0.294	-0.467	0.139
instrumentalist	-0.476	0.480	-0.476	0.091
instrumentality	0.056	0.236	-0.048	0.056
instrumentation	0.152	0.714	-0.111	0.152
insubordinate	-0.708	-0.333	-0.708	-0.694
insubordination	-0.833	0.268	-0.833	-0.545
insubstantial	-0.667	-0.833	-0.667	-0.500
insubstantiality	-0.571	-0.926	-0.571	-0.194
insufferable	-0.815	-0.418	-0.815	-0.500
insufferableness	-0.833	-0.542	-0.833	-0.806
insufferably	-0.810	-0.500	-0.810	-0.528
insufficiency	-0.619	-0.580	-0.619	-0.485
insufficient	-0.625	-0.907	-0.625	-0.242
insufficiently	-0.481	-0.604	-0.481	-0.407
insularity	-0.619	-0.429	-0.619	-0.182
insulate	0.333	-0.428	0.333	0.111
insulated	-0.667	-0.392	-0.667	0.030
insulation	0.167	-0.472	0.000	0.167
insult	-0.958	-0.222	-0.958	-0.704
insulter	-0.958	0.852	-0.958	-0.727
insulting	-0.944	-0.176	-0.944	-0.750
insupportable	-0.722	-0.667	-0.625	-0.722
insupportably	-0.667	-0.542	-0.667	-0.636
insuppressible	0.182	0.875	-0.125	0.182
insuppressibly	-0.370	0.381	-0.370	0.000
insurable	0.500	0.083	0.000	0.500
insurance	0.556	0.650	0.000	0.556
insure	0.750	0.396	0.048	0.750
insured	0.722	0.375	0.148	0.722
insurgency	-0.806	0.714	-0.778	-0.806
insurgent	-0.667	0.320	-0.625	-0.667
insurmountably	-0.625	-0.583	-0.625	-0.148
insurrect	-0.767	0.952	-0.708	-0.767
insurrection	-0.708	0.164	-0.708	-0.708
insurrectional	-0.750	1.000	-0.708	-0.750
insurrectionary	-0.788	0.958	-0.708	-0.788
insurrectionism	-0.815	0.875	-0.815	-0.553
insurrectionist	-0.939	0.958	-0.708	-0.939
intact	0.286	0.289	0.286	0.148
intactness	0.576	0.444	0.524	0.576
intangibleness	-0.286	-0.125	-0.286	-0.091
intangibly	0.000	-0.292	0.000	0.000
integrate	0.905	0.400	0.905	0.600
integration	0.875	0.474	0.875	0.037
integrationist	0.708	0.625	0.708	0.583
integrative	0.917	0.556	0.917	0.700
integrity	0.926	0.696	0.926	0.909
intellect	0.167	0.831	0.167	0.133
intellectual	0.212	0.690	0.148	0.212
intellectualism	0.590	0.917	-0.542	0.590
intellectualist	0.528	0.875	-0.286	0.528
intellectualistic	-0.542	0.714	-0.542	0.067
intellectuality	0.194	0.875	0.167	0.194
intellectually	0.417	0.625	0.048	0.417
intelligence	0.333	0.770	0.000	0.333
intelligence community	0.545	0.750	-0.542	0.545
intelligent	0.250	0.736	0.250	0.000
intelligently	0.242	0.917	0.042	0.242
intelligibility	0.667	0.378	0.389	0.667
intelligible	0.600	0.382	0.417	0.600
intemperate	-0.667	-0.429	-0.667	-0.593
intemperately	-0.694	-0.476	-0.667	-0.694
intender	0.182	0.458	-0.125	0.182
intensely	0.167	0.500	-0.083	0.167
intenseness	0.067	0.571	-0.042	0.067
intensification	0.000	0.667	0.000	0.000
intensively	0.212	0.593	-0.167	0.212
intentional	0.744	0.500	0.208	0.744
intentness	0.636	0.667	0.000	0.636
interact	0.926	0.518	0.926	0.242
interaction	0.952	0.500	0.952	0.333
interactional	0.762	0.333	0.762	0.370
interactive	0.958	0.540	0.958	0.267
interactively	0.905	0.417	0.905	0.182
interactivity	0.875	0.625	0.875	0.250
intercept	-0.152	0.352	-0.125	-0.152
interception	-0.167	0.286	-0.167	0.042
interceptor	-0.300	1.000	-0.042	-0.300
interchanged	0.000	-0.132	0.000	0.000
intercollegiate	0.429	0.476	0.429	0.000
intercommunication	0.750	0.500	0.750	0.303
intercommunicative	0.905	0.333	0.905	0.333
intercommunion	0.750	0.500	0.750	0.000
intercommunity	0.788	0.222	0.788	0.389
interconnect	0.762	0.458	0.762	0.500
interconnectedness	1.000	0.481	1.000	0.182
interconnection	0.917	0.556	0.917	0.242
intercontinental	0.091	0.714	0.074	0.091
intercultural	0.952	0.250	0.952	0.444
interdenominational	0.750	0.167	0.750	0.472
interdependency	0.889	-0.208	0.889	0.636
interdict	-0.593	0.571	-0.593	-0.545
interdiction	-0.625	0.419	-0.625	-0.200
interdisciplinary	0.400	0.667	0.042	0.400
interest	0.889	0.236	0.889	0.513
interest free	0.636	0.064	0.000	0.636
interest in	1.000	0.096	1.000	0.455
interest rate	-0.333	0.300	-0.333	0.042
interested	1.000	0.450	1.000	0.167
interested in	0.958	0.142	0.958	0.212
interesting	0.444	0.462	0.444	0.139
interface	0.167	0.200	0.000	0.167
interfaith	0.917	0.111	0.917	0.758
interfamily	0.905	0.000	0.905	0.000
interfere	-0.500	-0.058	-0.500	-0.433
interfered	-0.458	-0.556	-0.458	-0.455
interference	-0.485	-0.286	-0.458	-0.485
interferer	-0.636	0.875	-0.619	-0.636
intergeneration	0.259	0.375	0.259	0.000
intergenerational	0.708	0.571	0.708	0.091
interior design	0.714	0.226	0.714	0.167
interject	-0.250	0.316	-0.250	0.028
interlaced	0.000	0.333	0.000	0.000
interlock	0.472	0.458	0.250	0.472
interloper	-0.611	-0.375	-0.611	-0.556
intermarry	0.619	0.167	0.619	0.056
interment	-0.667	-0.308	-0.667	-0.111
intermesh	0.125	0.296	0.125	0.000
interminability	-0.571	-0.619	-0.571	-0.133
interminable	-0.583	0.122	-0.583	0.037
interminably	-0.524	-0.625	-0.524	-0.185
intermingle	0.875	0.000	0.875	0.033
intermittency	-0.429	-0.208	-0.429	-0.222
intermittent	-0.250	-0.128	-0.250	0.030
intermix	0.542	0.286	0.542	0.000
internal combustion	-0.714	0.366	-0.714	-0.033
internalization	0.515	0.444	0.083	0.515
internalize	-0.571	0.476	-0.571	0.152
international	0.905	0.404	0.905	0.121
international community	1.000	0.566	1.000	0.583
international flight	0.364	0.552	0.000	0.364
international relations	0.524	0.556	0.524	0.000
internationalism	0.593	0.778	0.593	0.515
internationalist	0.750	0.583	0.750	0.556
internationality	0.400	0.458	0.400	0.111
internationalize	0.333	0.815	0.333	0.030
internationally	0.619	0.625	0.619	0.152
internet	-0.333	0.510	0.074	-0.333
internment	-0.625	-0.889	-0.625	-0.212
interpersonal	0.958	0.481	0.958	0.485
interplanetary	-0.125	0.619	-0.125	0.028
interplay	0.667	0.208	0.667	0.091
interpret	0.762	0.346	0.762	0.545
interpretability	0.556	0.625	0.048	0.556
interpretable	0.583	0.444	0.143	0.583
interpretation	0.111	0.240	0.083	0.111
interpretatively	0.208	0.125	0.208	0.061
interpreter	0.576	0.192	0.333	0.576
interracial	0.556	0.000	0.556	-0.033
interrelate	0.875	0.519	0.875	0.148
interrelatedness	0.857	0.519	0.857	0.611
interrogate	-0.583	0.360	-0.583	-0.571
interrogated	-0.667	0.556	-0.667	-0.485
interrogation	-0.667	0.314	-0.667	-0.567
interrogational	-0.417	0.458	-0.417	-0.103
interrogative	-0.286	0.556	-0.286	-0.030
interrogatory	-0.375	0.444	-0.375	0.033
interrupt	-0.625	0.018	-0.625	-0.364
interrupted	-0.333	-0.334	-0.333	-0.194
interrupter	-0.500	0.500	-0.500	-0.333
interrupting	-0.619	0.018	-0.619	-0.576
interruption	-0.524	-0.218	-0.524	-0.167
interrupts	-0.600	-0.222	-0.417	-0.600
interscholastic	0.185	0.222	0.185	0.000
intersection	0.048	0.316	0.048	0.000
interstellar	0.000	0.244	0.000	0.000
interstitial	-0.417	0.068	-0.417	0.000
intertwine	0.583	0.000	0.583	0.152
intertwined	0.593	0.238	0.593	0.231
intervening	0.182	-0.116	0.143	0.182
intervention	0.667	0.378	0.667	0.133
interventionism	-0.111	0.917	0.048	-0.111
interviewee	0.381	0.148	0.381	0.148
interwove	0.120	0.476	0.120	0.000
intestinal	-0.524	-0.260	-0.524	0.000
intestine	-0.034	-0.240	-0.034	0.030
intestines	-0.208	-0.204	-0.208	0.000
intimacy	1.000	0.116	1.000	0.879
intimate	0.966	-0.214	0.966	0.133
intimately	1.000	0.180	1.000	0.061
intimateness	1.000	-0.278	1.000	0.792
intimidate	-0.792	0.264	-0.792	-0.722
intimidated	-0.583	-0.584	-0.583	-0.364
intimidating	-0.708	0.416	-0.708	-0.444
intimidation	-0.704	0.288	-0.704	-0.667
intimidator	-0.833	1.000	-0.833	-0.778
intolerability	-0.810	-0.556	-0.810	-0.694
intolerable	-0.889	-0.122	-0.889	-0.667
intolerableness	-0.917	-0.667	-0.917	-0.250
intolerably	-0.750	-0.583	-0.750	-0.633
intolerance	-0.875	0.040	-0.875	-0.630
intolerant	-1.000	0.018	-1.000	-0.697
intolerantly	-0.963	0.296	-0.963	-0.636
intoxicant	-0.545	-0.148	-0.542	-0.545
intoxicated	-0.697	-0.508	-0.429	-0.697
intoxicating	-0.567	-0.072	0.500	-0.567
intoxication	-0.556	-0.200	-0.556	-0.455
intoxicative	-0.500	0.185	-0.500	-0.417
intoxicator	-0.767	0.963	-0.625	-0.767
intracranial	-0.500	0.106	-0.500	0.030
intractable	-0.533	-0.396	-0.533	-0.462
intractableness	-0.714	0.444	-0.714	-0.481
intractably	-0.667	-0.148	-0.667	-0.576
intransigence	-0.758	0.917	-0.667	-0.758
intransigent	-0.630	0.889	-0.625	-0.630
intravenous	-0.389	-0.084	-0.389	0.182
intrepid	0.222	0.274	0.000	0.222
intrepidity	0.800	0.958	0.800	0.800
intrepidness	0.633	0.889	0.571	0.633
intricately	0.091	0.222	0.000	0.091
intrigue	-0.515	-0.346	-0.250	-0.515
introduced	0.481	0.167	0.481	0.037
introducible	0.083	0.250	0.083	0.028
introductive	0.524	0.167	0.524	0.067
introductory	0.375	0.186	0.375	0.061
introspect	0.433	-0.167	-0.250	0.433
introspectively	0.467	-0.458	-0.292	0.467
introspectiveness	-0.571	-0.083	-0.571	0.545
intrude	-0.667	-0.040	-0.667	-0.600
intruder	-1.000	-0.352	-1.000	-0.700
intrusion	-0.667	0.340	-0.667	-0.667
intrusively	-0.633	-0.125	-0.619	-0.633
intrusiveness	-0.741	0.125	-0.741	-0.667
intubate	-0.625	0.444	-0.625	0.111
intubation	0.200	0.052	-0.167	0.200
intuit	0.467	0.667	0.467	0.182
intuition	0.639	0.204	0.500	0.639
intuitional	0.394	0.571	0.333	0.394
intuitive	0.667	0.380	0.667	0.545
intuitively	0.606	0.296	0.407	0.606
intuitiveness	0.542	0.583	0.542	0.306
intuitivism	0.364	0.375	0.208	0.364
inundate	-0.208	0.667	-0.208	-0.030
inundation	-0.524	-0.090	-0.524	-0.185
inundator	-0.778	0.926	-0.667	-0.778
invaded	-0.714	0.292	-0.714	-0.600
invader	-0.667	0.236	-0.667	-0.606
invalid	-0.667	-0.490	-0.667	-0.667
invalidate	-0.667	-0.206	-0.667	-0.576
invalidation	-0.792	-0.444	-0.792	-0.533
invalidator	-0.667	0.741	-0.625	-0.667
invalidity	-0.667	-0.684	-0.667	-0.576
invalidly	-0.704	-0.667	-0.625	-0.704
invaluable	0.963	0.490	0.917	0.963
invaluableness	0.792	0.875	0.792	0.633
invariance	0.533	0.619	0.000	0.533
invasion	-0.879	0.616	-0.792	-0.879
invasive	-0.667	0.196	-0.667	-0.500
invent	0.625	0.666	0.625	0.212
invention	0.278	0.622	0.278	0.242
inventive	0.524	0.442	0.524	0.222
inventively	0.370	0.714	0.370	0.148
inventiveness	0.708	0.857	0.708	0.148
inventor	0.576	0.694	0.286	0.576
inversely	-0.143	-0.298	-0.143	0.000
inverted	-0.619	-0.286	-0.619	0.030
invertible	-0.222	0.278	-0.222	0.000
invest	0.639	0.364	0.500	0.639
investable	0.556	0.625	0.000	0.556
investible	0.545	0.625	0.000	0.545
investigate	0.733	0.562	0.000	0.733
investigative journalism	0.788	0.354	-0.208	0.788
investigatory	0.500	0.708	-0.250	0.500
investiture	0.333	0.667	0.333	0.148
investment	0.606	0.490	0.571	0.606
investment banking	-0.625	0.222	-0.625	-0.583
investor	0.606	0.582	0.095	0.606
invidious	-0.758	-0.272	-0.667	-0.758
invigorate	0.958	0.662	0.958	0.636
invigorated	0.714	0.741	0.714	0.074
invigoration	0.714	0.750	0.714	0.152
invigorative	0.407	0.481	0.407	0.182
invigorator	0.952	0.741	0.952	0.061
invincibility	0.042	1.000	0.042	0.000
invincible	0.167	0.828	0.000	0.167
invincibleness	-0.458	1.000	-0.458	0.303
invincibly	-0.133	0.963	0.000	-0.133
inviolable	0.958	1.000	0.476	0.958
inviolate	0.733	0.926	0.000	0.733
invisibleness	-0.619	-0.500	-0.619	-0.067
invitation	0.889	0.294	0.889	0.694
invitational	0.905	0.667	0.905	0.556
invite	0.909	0.222	0.909	0.606
invitee	0.800	0.000	0.800	0.333
inviter	0.917	0.500	0.917	0.528
inviting	0.952	0.076	0.952	0.606
invocate	-0.095	0.524	-0.095	0.028
invocative	-0.125	0.417	-0.125	0.030
invoker	-0.037	0.741	-0.037	0.030
involuntary	-0.056	-0.538	-0.042	-0.056
involution	-0.619	-0.186	-0.619	-0.028
involve	0.750	0.456	0.750	0.500
involved	0.852	0.208	0.852	0.500
involved in	0.952	0.188	0.952	0.200
involvement	0.905	0.392	0.905	0.567
invulnerability	-0.619	1.000	-0.619	0.333
invulnerably	-0.095	1.000	-0.095	-0.042
iodine	-0.125	-0.334	-0.125	0.030
ionosphere	0.042	0.000	0.042	0.030
iota	-0.125	-0.372	-0.125	0.000
ipad	0.030	0.542	0.000	0.030
iphone	0.250	0.708	0.000	0.250
ipod	0.095	0.458	0.095	0.000
irate	-0.810	-0.052	-0.810	-0.633
irately	-0.750	0.286	-0.750	-0.424
ire	-0.625	0.150	-0.625	-0.515
iridescence	0.208	0.208	0.208	0.000
iridescently	0.292	0.042	0.292	0.000
iris	0.333	-0.240	0.250	0.333
irk	-0.625	-0.500	-0.625	-0.242
irked	-0.625	-0.294	-0.625	-0.233
irks	-0.583	-0.322	-0.583	-0.250
irksome	-0.708	-0.296	-0.708	-0.267
irksomely	-0.667	-0.704	-0.667	-0.242
irksomeness	-0.667	-0.667	-0.667	-0.515
iron maiden	-1.000	0.308	-0.833	-1.000
iron out	0.636	0.072	0.583	0.636
ironbound	-0.542	0.741	-0.542	0.250
ironer	-0.111	0.259	-0.111	0.094
ironfisted	-0.952	1.000	-0.952	-0.667
ironhanded	-0.704	1.000	-0.667	-0.704
ironical	-0.500	0.500	-0.500	-0.091
ironless	-0.444	-0.667	-0.444	0.000
ironman	0.481	1.000	0.481	0.182
ironmaster	0.233	0.958	-0.167	0.233
ironsmith	-0.370	0.625	-0.370	0.000
ironstone	0.212	0.458	0.000	0.212
ironwork	0.152	0.476	0.000	0.152
irony	-0.167	0.016	-0.167	0.000
irradiant	1.000	0.741	1.000	0.167
irradiate	0.619	0.583	0.619	0.000
irradiated	-0.762	0.407	-0.762	-0.152
irradiation	-0.500	0.018	-0.500	-0.121
irrational	-0.625	-0.212	-0.625	-0.606
irrationalism	-0.778	-0.593	-0.583	-0.778
irrationality	-0.667	-0.278	-0.667	-0.636
irrationalize	-0.722	-0.667	-0.667	-0.722
irrationally	-0.533	-0.667	-0.519	-0.533
irreclaimable	-0.750	-0.778	-0.667	-0.750
irrecognizable	-0.630	-0.481	-0.630	-0.242
irreconcilability	-0.667	0.000	-0.667	-0.528
irreconcilable	-0.708	-0.250	-0.708	-0.125
irreconcilably	-0.667	-0.286	-0.667	-0.167
irrecoverable	-0.625	-0.917	-0.625	-0.125
irrecoverably	-0.667	-0.667	-0.667	-0.545
irredeemable	-0.833	-0.875	-0.833	-0.697
irredeemably	-0.972	-0.917	-0.704	-0.972
irreducible	-0.533	0.138	-0.533	0.091
irrefutability	1.000	0.875	-0.222	1.000
irrefutably	0.750	0.963	0.000	0.750
irregular	-0.375	-0.358	-0.375	-0.212
irregularity	-0.455	-0.388	-0.333	-0.455
irregularly	-0.333	-0.206	-0.167	-0.333
irrelative	-0.333	-0.542	-0.333	-0.121
irrelevance	-0.667	-0.810	-0.667	-0.485
irrelevancy	-0.417	-0.583	-0.417	-0.182
irrelevant	-0.476	-0.408	-0.476	-0.212
irrelevantly	-0.667	-0.222	-0.667	-0.100
irreligious	-0.630	0.000	-0.630	-0.455
irreligiously	-0.619	-0.600	-0.619	-0.545
irrepairable	-0.667	-0.625	-0.667	-0.485
irreparability	-0.630	-0.875	-0.630	-0.148
irreparable	-0.778	-0.140	-0.778	-0.200
irreparably	-0.667	-0.810	-0.667	-0.111
irreplaceably	0.583	0.667	0.583	0.545
irrepressibility	0.815	0.926	0.815	0.121
irreproachable	1.000	0.889	0.857	1.000
irreproachableness	0.967	0.917	0.286	0.967
irreproachably	0.967	0.889	0.400	0.967
irresistibility	0.524	0.667	0.524	0.182
irresistibleness	0.875	0.810	0.875	0.194
irresolute	-0.545	-0.667	-0.533	-0.545
irresoluteness	-0.556	-0.857	-0.556	-0.462
irresolution	-0.571	-0.875	-0.571	-0.333
irresolvable	-0.667	-0.667	-0.667	-0.048
irrespective of	0.048	-0.392	0.048	0.030
irresponsibility	-0.972	-0.963	-0.963	-0.972
irresponsible	-0.972	-0.518	-0.667	-0.972
irresponsibleness	-0.917	-0.625	-0.762	-0.917
irresponsibly	-0.722	-0.708	-0.625	-0.722
irresponsive	-0.905	-0.905	-0.905	-0.636
irresponsiveness	-0.708	-0.667	-0.708	-0.667
irretrievability	-0.667	-0.630	-0.667	-0.148
irretrievable	-0.708	-0.714	-0.708	-0.222
irretrievably	-0.583	-0.630	-0.583	-0.267
irreverent	-0.500	0.268	-0.476	-0.500
irreversibility	-0.481	0.556	-0.481	0.000
irreversible	-0.429	0.334	-0.429	0.212
irreversibleness	-0.542	0.429	-0.542	-0.037
irreversibly	-0.286	0.833	-0.286	-0.152
irrevocability	0.694	1.000	-0.500	0.694
irrevocable	-0.500	0.424	-0.500	0.100
irrevocableness	-0.667	0.556	-0.667	0.542
irrigate	0.381	-0.020	0.381	0.167
irrigation	0.333	-0.148	0.333	0.182
irritability	-0.714	-0.434	-0.714	-0.545
irritable	-0.686	-0.076	-0.686	-0.424
irritableness	-0.667	-0.407	-0.667	-0.458
irritably	-0.667	-0.481	-0.667	-0.444
irritant	-0.741	-0.571	-0.741	-0.333
irritate	-0.667	-0.264	-0.667	-0.533
irritated	-0.667	-0.438	-0.667	-0.303
irritates	-0.667	-0.410	-0.667	-0.111
irritating	-0.625	-0.214	-0.625	-0.556
irritation	-0.583	-0.008	-0.583	-0.259
irritator	-0.833	0.481	-0.833	-0.722
is to	0.000	-0.310	0.000	0.000
island	0.533	-0.136	0.533	0.111
isle	0.238	-0.114	0.238	0.056
isolate	-0.722	-0.328	-0.722	-0.037
isolated	-0.714	-0.490	-0.714	-0.154
isolation	-0.762	-0.322	-0.762	-0.205
isolationism	-0.875	-0.222	-0.875	-0.030
isolationist	-0.762	-0.524	-0.762	0.083
isolative	-0.667	-0.619	-0.667	-0.364
issue	-0.143	-0.298	-0.143	0.000
issue from	-0.042	-0.444	-0.042	0.000
it works	0.606	0.036	0.048	0.606
italic	0.000	0.222	0.000	0.000
itch	-0.476	-0.070	-0.476	-0.167
itchiness	-0.481	-0.481	-0.481	-0.061
itching	-0.370	-0.400	-0.370	0.000
itchy	-0.333	-0.408	-0.333	-0.083
itself	0.033	-0.200	0.000	0.033
itsy-bitsy	0.389	-0.792	0.389	0.028
itty-bitty	0.481	-0.833	0.481	0.000
ivory	0.037	0.132	0.000	0.037
jab	-0.542	-0.036	-0.542	-0.367
jabbed	-0.429	0.333	-0.429	-0.133
jabberer	-0.556	-0.500	0.167	-0.556
jabberwocky	0.000	-0.037	0.000	0.000
jabbing	-0.667	0.762	-0.667	-0.333
jack frost	-0.857	0.080	-0.857	0.030
jack up	-0.424	0.076	-0.095	-0.424
jackal	-0.741	-0.128	-0.741	-0.630
jackass	-0.900	-0.442	-0.810	-0.900
jacked up	-0.636	-0.102	-0.630	-0.636
jacket	0.284	-0.236	0.284	0.067
jackhammer	-0.444	0.038	-0.444	0.000
jacking off	-0.963	-0.258	-0.963	-0.556
jackknife	-0.167	-0.148	-0.167	-0.061
jackpot	0.810	0.572	0.810	0.083
jackrabbit	0.083	-0.312	0.083	0.000
jaded	-0.667	-0.200	-0.667	-0.472
jadedly	-0.625	-0.708	-0.625	-0.303
jadedness	-0.667	-0.481	-0.667	-0.394
jadestone	0.125	0.000	0.125	0.091
jagged	-0.476	-0.574	-0.476	-0.030
jaggedness	-0.583	0.133	-0.583	-0.121
jail	-0.889	-0.040	-0.889	-0.733
jail cell	-0.963	-0.200	-0.963	-0.667
jailbait	-0.875	-0.667	-0.875	-0.767
jailbird	-0.848	-0.054	-0.815	-0.848
jailbreak	-0.694	-0.058	-0.619	-0.694
jailer	-0.667	0.264	-0.667	0.625
jailhouse	-0.917	-0.140	-0.917	-0.867
jailor	-0.611	0.810	-0.611	-0.593
jalapeno	0.429	0.042	0.429	0.028
jalopy	-0.583	-0.326	-0.583	-0.222
jammed	-0.375	-0.178	-0.375	-0.152
jangly	-0.429	-0.333	-0.429	0.000
japan	0.528	0.160	0.333	0.528
jargon	-0.375	-0.192	-0.375	-0.167
jarring	-0.625	-0.382	-0.625	-0.367
jasmine	0.750	-0.428	0.750	0.077
jaundice	-0.667	-0.290	-0.667	-0.055
jaundiced	-0.667	-0.375	-0.667	-0.472
jaunt	0.429	0.000	0.429	0.000
jauntily	0.875	0.458	0.875	0.056
jaunty	0.833	0.375	0.833	0.091
javelin	-0.125	-0.070	-0.125	0.030
jawbreaker	-0.042	0.095	-0.042	0.000
jawless	-0.810	-0.458	-0.810	-0.091
jaws	-0.481	-0.090	-0.481	-0.182
jaywalk	-0.583	-0.095	-0.583	-0.455
jazz	0.833	-0.100	0.833	0.152
jazzercise	0.833	0.583	0.833	0.000
jazzily	0.500	0.542	0.500	0.000
jazziness	0.750	0.500	0.750	0.030
jazzy	0.722	-0.222	0.722	0.033
jealous	-0.697	-0.310	-0.667	-0.697
jealously	-0.667	-0.476	-0.667	-0.424
jealousness	-0.667	-0.542	-0.667	-0.667
jealousy	-0.667	-0.038	-0.667	-0.639
jeepers creepers	0.292	-0.096	0.292	0.000
jeer	-0.952	-0.296	-0.952	-0.733
jeerer	-0.750	0.630	-0.750	-0.733
jeering	-0.833	-0.240	-0.833	-0.700
jekyll	-0.524	0.625	-0.286	-0.524
jellied	0.074	-0.667	0.074	-0.061
jelly	0.381	-0.488	0.381	0.128
jelly bean	0.917	-0.358	0.917	0.028
jellyroll	0.208	0.000	0.208	0.000
jeopardize	-0.778	0.164	-0.524	-0.778
jeopardy	-0.533	0.072	-0.500	-0.533
jerk	-1.000	-0.524	-1.000	-0.697
jerker	-0.889	-0.481	-0.722	-0.889
jerkiness	-0.667	-0.762	-0.667	-0.417
jerks	-0.958	-0.210	-0.958	-0.926
jerky	-0.429	-0.284	-0.429	-0.152
jester	0.875	-0.472	0.875	0.000
jesus	1.000	0.240	1.000	0.528
jet lag	-0.333	-0.250	-0.333	-0.152
jetlag	-0.333	-0.619	-0.333	-0.083
jetliner	0.515	0.815	-0.167	0.515
jetski	0.500	0.667	0.500	0.000
jetted	0.000	0.429	0.000	0.000
jewel	0.833	0.250	0.833	0.296
jeweler	0.593	0.000	0.524	0.593
jewellery	0.389	0.074	0.389	0.152
jewelry	0.333	0.194	0.333	0.133
jibber	-0.519	-0.593	-0.519	-0.242
jihad	-0.792	-0.112	-0.792	-0.667
jihadist	-1.000	0.958	-0.958	-1.000
jilt	-0.778	-0.042	-0.500	-0.778
jim crow	-1.000	-0.250	-1.000	-0.697
jiminy	0.222	0.000	0.148	0.222
jingle	0.778	-0.152	0.778	0.083
jingle bells	0.958	0.172	0.958	0.083
jinx	-0.364	-0.254	-0.056	-0.364
jitters	-0.167	-0.616	-0.167	-0.074
jittery	-0.500	-0.490	-0.375	-0.500
job	0.292	0.434	0.292	0.190
job application	0.500	0.250	0.042	0.500
job creation	0.857	0.250	0.857	0.515
job security	0.697	0.200	0.571	0.697
jobholder	0.567	0.458	0.083	0.567
jobinterview	0.333	0.446	0.333	0.148
jobless	-0.524	-0.667	-0.524	-0.100
joblessness	-0.667	-0.958	-0.667	-0.167
jock strap	0.030	0.000	0.000	0.030
jockstrap	-0.375	-0.220	-0.375	0.000
jocular	1.000	0.370	1.000	0.182
jocularity	0.875	0.519	0.875	0.361
jocularly	0.905	0.259	0.905	0.067
jogging	0.524	0.407	0.524	0.238
join	0.852	0.368	0.852	0.152
join forces	0.778	0.334	0.778	0.667
join in	0.963	0.142	0.963	0.515
join with	0.852	0.032	0.852	0.590
joinable	1.000	0.208	1.000	0.242
joined	0.917	0.200	0.917	0.222
joiner	0.741	0.389	0.741	0.600
joining	0.952	0.370	0.952	0.296
joint chiefs	0.741	0.112	0.143	0.741
joint pain	-0.208	-0.420	-0.208	0.000
jointly	0.852	0.204	0.852	0.545
joke	1.000	-0.368	1.000	0.000
jokeless	-0.667	-0.208	-0.667	-0.152
joker	0.714	-0.168	0.714	-0.593
jokester	0.944	0.190	0.944	0.033
jokey	0.857	0.000	0.857	0.111
joking	0.952	-0.186	0.952	0.091
joking aside	0.519	0.000	0.519	0.361
jollier	0.958	0.074	0.958	0.100
jolliness	1.000	-0.037	1.000	0.727
jolly	1.000	0.416	1.000	0.194
jolt	-0.333	-0.284	-0.333	0.000
joshing	0.833	0.000	0.833	0.121
jostler	0.600	0.593	0.600	-0.515
journal	0.639	-0.296	0.074	0.639
journalistic	0.576	-0.010	0.533	0.576
journey	0.417	0.250	0.417	0.167
journeyer	0.182	0.250	0.092	0.182
journeyman	0.515	0.482	0.381	0.515
journeywoman	0.424	0.481	0.333	0.424
jouster	0.400	0.625	0.095	0.400
jovial	1.000	0.052	1.000	0.636
joviality	1.000	0.125	1.000	0.152
jovially	1.000	0.292	1.000	0.333
jovialness	0.958	0.238	0.958	0.394
jowl	-0.458	0.000	-0.458	0.000
joy	1.000	0.588	1.000	0.042
joy ride	0.667	0.380	0.667	-0.542
joyful	1.000	0.296	1.000	0.303
joyfully	1.000	0.037	1.000	0.250
joyfulness	1.000	0.296	1.000	0.100
joyless	-0.905	-0.762	-0.905	-0.100
joylessly	-0.875	-0.625	-0.875	-0.212
joylessness	-0.722	-0.875	-0.722	-0.074
joyous	1.000	0.456	1.000	0.042
joyously	1.000	0.381	1.000	0.167
joyousness	1.000	0.000	1.000	0.444
joyride	0.500	0.000	0.500	-0.394
joys	0.952	0.184	0.952	0.273
joystick	0.000	0.444	0.000	0.000
jubilance	1.000	0.238	1.000	0.292
jubilancy	0.917	0.333	0.917	0.139
jubilant	1.000	0.328	1.000	0.139
jubilantly	0.926	0.741	0.926	0.185
jubilate	0.952	0.208	0.952	0.000
jubilation	1.000	0.583	1.000	0.333
jubilatory	0.952	0.148	0.952	0.167
jubilee	0.905	0.158	0.905	0.700
judge of	0.467	0.266	-0.278	0.467
judged	-0.333	0.444	-0.333	-0.083
judging	0.583	0.386	-0.458	0.583
judgment	0.556	0.632	-0.278	0.556
judgment day	0.533	0.536	-0.381	0.533
judgmental	-0.619	0.158	-0.619	-0.567
judicatory	0.815	0.750	-0.238	0.815
