term	warmth (W)	competence (C)	sociability (S)	trust (T)
stonewall	-0.750	0.310	-0.750	-0.633
stonework	0.485	0.083	-0.381	0.485
stonily	-0.667	-0.458	-0.667	-0.250
stony	-0.667	0.050	-0.667	-0.077
stonyhearted	-1.000	0.958	-1.000	-0.727
stoop to	-0.542	-0.258	-0.542	-0.519
stoopid	-0.788	-0.236	-0.583	-0.788
stop	-0.083	-0.020	-0.083	0.083
stop at	-0.042	-0.484	-0.042	0.000
stop by	0.958	-0.400	0.958	0.091
stop in	0.429	-0.384	0.429	0.030
stop light	0.700	-0.124	0.042	0.700
stop on	-0.250	-0.184	-0.250	0.000
stop over	0.143	-0.290	0.143	0.000
stop sign	0.700	0.000	-0.125	0.700
stoppage	-0.125	-0.110	-0.125	0.000
stoppage time	0.000	-0.226	0.000	0.000
stopper	-0.333	-0.220	-0.333	0.111
stopping	0.167	-0.054	0.000	0.167
storable	0.152	0.222	0.000	0.152
storage	0.182	0.128	0.000	0.182
store	0.303	-0.186	0.167	0.303
stored	0.037	0.250	0.000	0.037
storekeeper	0.500	0.458	0.429	0.500
storied	0.424	0.458	0.238	0.424
storing	0.333	0.096	0.000	0.333
stork	0.125	0.000	0.125	0.061
storm	-0.524	0.086	-0.524	-0.091
storminess	-0.458	0.429	-0.458	-0.389
storming	-0.429	0.338	-0.429	-0.273
stormy	-0.667	0.124	-0.667	-0.061
story	0.833	0.408	0.833	0.100
storyboard	0.292	0.593	0.292	0.060
storybook	0.571	-0.234	0.571	0.533
storyline	0.167	-0.200	0.167	0.000
storyteller	0.944	-0.076	0.944	0.467
storytelling	0.958	-0.056	0.958	0.528
storywriter	0.630	0.583	0.630	0.278
stout	0.375	0.634	0.375	0.152
stouthearted	0.722	0.714	0.625	0.722
stoutheartedly	0.611	0.958	0.250	0.611
stoutly	0.212	0.625	0.208	0.212
stoutness	0.286	0.519	0.286	0.061
stowaway	-0.545	-0.286	-0.185	-0.545
straddle	-0.042	-0.112	-0.042	0.000
straggle	-0.222	-0.625	-0.222	-0.139
straggler	-0.333	-0.667	-0.333	-0.194
straight answer	0.933	0.260	0.667	0.933
straight away	0.583	0.260	0.583	0.074
straight days	0.133	0.142	0.037	0.133
straight forward	0.788	0.342	0.556	0.788
straight games	0.515	0.214	0.000	0.515
straight hair	0.100	-0.034	0.048	0.100
straight home	0.611	0.380	-0.056	0.611
straight lines	0.875	0.214	-0.056	0.875
straight men	0.061	0.366	0.042	0.061
straight shooter	1.000	0.358	0.778	1.000
straightedge	0.611	0.444	-0.429	0.611
straighten	0.767	0.370	0.333	0.767
straightforward	0.944	-0.240	0.833	0.944
straightforwardly	0.939	0.500	0.704	0.939
straightforwardness	0.879	0.630	0.857	0.879
straightjacket	-0.750	-0.917	-0.750	-0.533
straightness	0.909	0.296	0.074	0.909
straightway	0.479	0.130	0.125	0.479
strain	-0.296	-0.240	-0.296	-0.030
strained	-0.583	0.160	-0.583	-0.111
straitjacket	-0.800	0.158	-0.708	-0.800
strand	-0.417	0.076	-0.417	0.000
stranded	-0.542	-0.562	-0.542	-0.121
strange	-0.417	-0.210	-0.417	-0.182
strangely	-0.333	0.000	-0.333	-0.095
stranger	-0.481	-0.396	-0.481	-0.222
stranger danger	-0.767	-0.242	-0.708	-0.767
strangest	-0.625	0.000	-0.625	0.091
strangle	-1.000	0.054	-1.000	-0.909
strangled	-1.000	-0.852	-1.000	-0.125
stranglehold	-0.708	1.000	-0.708	-0.639
strangler	-1.000	0.958	-1.000	-0.889
strangulate	-0.905	0.519	-0.905	-0.788
strangulation	-1.000	0.084	-1.000	-1.000
strap	0.091	-0.236	-0.042	0.091
strapless	0.100	-0.454	0.000	0.100
strapped	-0.333	-0.556	-0.333	-0.212
stratagem	-0.733	0.667	-0.111	-0.733
strategic	0.364	0.861	-0.095	0.364
strategies	0.212	1.000	0.000	0.212
strategize	0.333	0.833	0.296	0.333
strategy	0.200	0.836	0.000	0.200
stratospheric	-0.238	0.875	-0.238	0.000
stratum	0.000	0.020	0.000	0.000
straw man	-0.583	-0.066	-0.583	-0.467
